med,med_class,super_class,pharm class,theraputic class,route
robafen dm,cough/cold/allergy,uri med,cough/cold/allergy,respiratory agents,
robitussin chest congestion,cough/cold/allergy,uri med,cough/cold/allergy,respiratory agents,
robitussin dm sugar free,cough/cold/allergy,uri med,cough/cold/allergy,respiratory agents,
sodium chloride,cough/cold/allergy,uri med,cough/cold/allergy,respiratory agents,
sudafed pe sinus/allergy,cough/cold/allergy,uri med,cough/cold/allergy,respiratory agents,
theraflu cold & cough,cough/cold/allergy,uri med,cough/cold/allergy,respiratory agents,
tussin,cough/cold/allergy,uri med,cough/cold/allergy,respiratory agents,
tussin cough,cough/cold/allergy,uri med,cough/cold/allergy,respiratory agents,
vicks dayquil cold & flu,cough/cold/allergy,uri med,cough/cold/allergy,respiratory agents,
vicks vaporub childrens ex,cough/cold/allergy,uri med,cough/cold/allergy,respiratory agents,
vicks vaporub ex,cough/cold/allergy,uri med,cough/cold/allergy,respiratory agents,
adapalene,acne med,acne med,dermatological,topical products,
lotrimin af,anti-fungal,anti-fungal,dermatological,topical products,
zeasorb exwd,anti-fungal,anti-fungal,dermatological,topical products,
miconazole nitrate,antifungal,topical products,dermatological,topical products,
miconazole-zinc oxide-petrolat,antifungal,topical products,dermatological,topical products,
urea,antihistamine,hypnotics,dermatological,topical products,
lac-hydrin,barrier cream,antii-inflamatory,dermatological,topical products,topical
lac-hydrin five,barrier cream,antii-inflamatory,dermatological,topical products,
aquaphor ex oint,barrier-ointment,barrier-ointment,dermatological,topical products,
collagen matrix-silver ex,dermatological,topical products,dermatological,topical products,
collagenase,dermatological,topical products,dermatological,topical products,
isotretinoin,isotretinoin,acne med,dermatological,topical products,
aspercreme lidocaine,lidocaine-topical,topical products,dermatological,topical products,Topical 
calmoseptine,minerals & electrolytes,nutritional products,dermatological,topical products,
zinc oxide,minerals & electrolytes,nutritional products,dermatological,topical products,
ammonium lactate,moisturizer,dermatological,dermatological,topical products,
metronidazole,nitroimidazole,antibiotic,dermatological,topical products,
diclofenac sodium,nsaid,nsaid,dermatological,topical products,
nystatin,polyene,anti-fungal,dermatological,topical products,
a&d ex oint,skin protectant,dermatological,dermatological,topical products,Topical
absorbase ex oint,skin protectant,dermatological,dermatological,topical products,
amerigel barrier ex,skin protectant,dermatological,dermatological,topical products,
neosporin ex,topical,topical,dermatological,topical products,
calmoseptine ex,topical products,dermatological,dermatological,topical products,
camphor-menthol-methyl sal,topical products,dermatological,dermatological,topical products,
trolamine salicylate,urinary antispasmodics,genitourinary products,dermatological,topical products,
alum sulfate-ca acetate,dermatological,topical products,dermatological,topical products,
aluminum chloride,dermatological,topical products,dermatological,topical products,
atrac-tain,dermatological,topical products,dermatological,topical products,
aveeno skin relief body wash ex,dermatological,topical products,dermatological,topical products,
avenova,dermatological,topical products,dermatological,topical products,
azelaic acid,dermatological,topical products,dermatological,topical products,
bacitracin,dermatological,topical products,dermatological,topical products,
bacitracin zinc,dermatological,topical products,dermatological,topical products,
bacitracin-neomycin-polymyxin,dermatological,topical products,dermatological,topical products,
bacitracin-polymyxin b,dermatological,topical products,dermatological,topical products,
balmex adult care ex,dermatological,topical products,dermatological,topical products,
balmex ex,dermatological,topical products,dermatological,topical products,
bath products,dermatological,topical products,dermatological,topical products,
baza protect ex,dermatological,topical products,dermatological,topical products,
bengay greaseless,dermatological,topical products,dermatological,topical products,
bengay greaseless ex,dermatological,topical products,dermatological,topical products,
benzoyl peroxide,dermatological,topical products,dermatological,topical products,
benzoyl peroxide wash,dermatological,topical products,dermatological,topical products,
benzoyl peroxide-cleanser,dermatological,topical products,dermatological,topical products,
benzoyl peroxide-cleanser ex,dermatological,topical products,dermatological,topical products,
betamethasone dipropionate,dermatological,topical products,dermatological,topical products,
betamethasone dipropionate aug,dermatological,topical products,dermatological,topical products,
betamethasone valerate,dermatological,topical products,dermatological,topical products,
biofreeze,dermatological,topical products,dermatological,topical products,
biofreeze colorless,dermatological,topical products,dermatological,topical products,
bismuth tribromoph-petrolatum,dermatological,topical products,dermatological,topical products,
calamine,dermatological,topical products,dermatological,topical products,
calamine-zinc oxide,dermatological,topical products,dermatological,topical products,
calcipotriene,dermatological,topical products,dermatological,topical products,
calcipotriene-betameth diprop,dermatological,topical products,dermatological,topical products,
camphor-menthol,dermatological,topical products,dermatological,topical products,
capsaicin,dermatological,topical products,dermatological,topical products,
capsaicin arthritis relief ex,dermatological,topical products,dermatological,topical products,
capsaicin ex,dermatological,topical products,dermatological,topical products,
cerave ex,dermatological,topical products,dermatological,topical products,
cerave ex crea,dermatological,topical products,dermatological,topical products,
cerave ex lotn,dermatological,topical products,dermatological,topical products,
cetaphil ex crea,dermatological,topical products,dermatological,topical products,
ciclopirox,dermatological,topical products,dermatological,topical products,
ciclopirox olamine,dermatological,topical products,dermatological,topical products,
claravis,dermatological,topical products,dermatological,topical products,
clindamycin phosphate,dermatological,topical products,dermatological,topical products,
clobetasol propionate,dermatological,topical products,dermatological,topical products,
clotrimazole-betamethasone,dermatological,topical products,dermatological,topical products,
coal tar extract,dermatological,topical products,dermatological,topical products,
collagen matrix-silver,dermatological,topical products,dermatological,topical products,
cosentyx,dermatological,topical products,dermatological,topical products,
cosentyx sensoready,dermatological,topical products,dermatological,topical products,
critic-aid clear ex oint,dermatological,topical products,dermatological,topical products,
cvs antifungal ex,dermatological,topical products,dermatological,topical products,
cvs athletes foot,dermatological,topical products,dermatological,topical products,
dermaphor ex oint,dermatological,topical products,dermatological,topical products,
"dermatological products, misc.",dermatological,topical products,dermatological,topical products,
desonide,dermatological,topical products,dermatological,topical products,
desoximetasone,dermatological,topical products,dermatological,topical products,
dibucaine,dermatological,topical products,dermatological,topical products,
dimethicone,dermatological,topical products,dermatological,topical products,
drysol,dermatological,topical products,dermatological,topical products,
dupilumab,dermatological,topical products,dermatological,topical products,
dupixent,dermatological,topical products,dermatological,topical products,
econazole nitrate,dermatological,topical products,dermatological,topical products,
elidel,dermatological,topical products,dermatological,topical products,
emollient,dermatological,topical products,dermatological,topical products,
emollient ex,dermatological,topical products,dermatological,topical products,
enstilar,dermatological,topical products,dermatological,topical products,
ethyl chloride,dermatological,topical products,dermatological,topical products,
ethyl chloride ex aero,dermatological,topical products,dermatological,topical products,
eucerin ex crea,dermatological,topical products,dermatological,topical products,
eucerin ex lotn,dermatological,topical products,dermatological,topical products,
eyelid cleansers,dermatological,topical products,dermatological,topical products,
fluocinolone acetonide,dermatological,topical products,dermatological,topical products,
fluocinolone acetonide body,dermatological,topical products,dermatological,topical products,
fluocinolone acetonide scalp,dermatological,topical products,dermatological,topical products,
fluocinonide,dermatological,topical products,dermatological,topical products,
fluorouracil,dermatological,topical products,dermatological,topical products,
gebauers pain ease ex aero,dermatological,topical products,dermatological,topical products,
gold bond babywder ex,dermatological,topical products,dermatological,topical products,
gold bond exwd,dermatological,topical products,dermatological,topical products,
guselkumab,dermatological,topical products,dermatological,topical products,
halobetasol propionate,dermatological,topical products,dermatological,topical products,
hm salonpas pain relief,dermatological,topical products,dermatological,topical products,
hydrocerin ex crea,dermatological,topical products,dermatological,topical products,
hydrocortisone valerate,dermatological,topical products,dermatological,topical products,
icy hot ex,dermatological,topical products,dermatological,topical products,
icy hot lidocaine plus menthol ex,dermatological,topical products,dermatological,topical products,
imiquimod,dermatological,topical products,dermatological,topical products,
incontinent wash,dermatological,topical products,dermatological,topical products,
ixekizumab,dermatological,topical products,dermatological,topical products,
ketoconazole,dermatological,topical products,dermatological,topical products,
kp benzoyl peroxide wash,dermatological,topical products,dermatological,topical products,
lantiseptic perineal wash ex,dermatological,topical products,dermatological,topical products,
lantiseptic skin protectant,dermatological,topical products,dermatological,topical products,
lidocaine,dermatological,topical products,dermatological,topical products,
lidocaine hcl,dermatological,topical products,dermatological,topical products,
lidocaine hcl urethral/mucosal,dermatological,topical products,dermatological,topical products,
lidocaine-menthol,dermatological,topical products,dermatological,topical products,
lidocaine-prilocaine,dermatological,topical products,dermatological,topical products,
lidocaine-transparent dressing,dermatological,topical products,dermatological,topical products,
liniments,dermatological,topical products,dermatological,topical products,
lmx,dermatological,topical products,dermatological,topical products,
medicatedwder ex,dermatological,topical products,dermatological,topical products,
menthol,dermatological,topical products,dermatological,topical products,
menthol (topical analgesic),dermatological,topical products,dermatological,topical products,
menthol-methyl salicylate,dermatological,topical products,dermatological,topical products,
menthol-methyl salicylate ex,dermatological,topical products,dermatological,topical products,
menthol-zinc oxide,dermatological,topical products,dermatological,topical products,
moisture ex crea,dermatological,topical products,dermatological,topical products,
mometasone furoate ex,dermatological,topical products,dermatological,topical products,
mupirocin,dermatological,topical products,dermatological,topical products,
mupirocin calcium,dermatological,topical products,dermatological,topical products,
muscle rub ex,dermatological,topical products,dermatological,topical products,
neomycin-bacitracin-polymyxin,dermatological,topical products,dermatological,topical products,
neutrogena t/gel,dermatological,topical products,dermatological,topical products,
no-sting skin-prep ex,dermatological,topical products,dermatological,topical products,
nyamyc,dermatological,topical products,dermatological,topical products,
nystatin-triamcinolone,dermatological,topical products,dermatological,topical products,
nystop,dermatological,topical products,dermatological,topical products,
pentafluoroprop-tetrafluoroeth,dermatological,topical products,dermatological,topical products,
periguard ex oint,dermatological,topical products,dermatological,topical products,
petrolatum,dermatological,topical products,dermatological,topical products,
petrolatum-zinc oxide,dermatological,topical products,dermatological,topical products,
pimecrolimus,dermatological,topical products,dermatological,topical products,
powders,dermatological,topical products,dermatological,topical products,
pramoxine hcl,dermatological,topical products,dermatological,topical products,
pyrithione zinc,dermatological,topical products,dermatological,topical products,
salicylic acid,dermatological,topical products,dermatological,topical products,
salonpas ex,dermatological,topical products,dermatological,topical products,
salonpas pain relief patch ex,dermatological,topical products,dermatological,topical products,
santyl,dermatological,topical products,dermatological,topical products,
sarna sensitive,dermatological,topical products,dermatological,topical products,
secukinumab,dermatological,topical products,dermatological,topical products,
selenium sulfide,dermatological,topical products,dermatological,topical products,
silver sulfadiazine,dermatological,topical products,dermatological,topical products,
silver sulfadiazine ex,dermatological,topical products,dermatological,topical products,
"skin protectants, misc.",dermatological,topical products,dermatological,topical products,
sodium sulfacetamide wash,dermatological,topical products,dermatological,topical products,
stelara,dermatological,topical products,dermatological,topical products,
sulfacetamide in bakuchiol,dermatological,topical products,dermatological,topical products,
sulfacetamide-sulfur in urea,dermatological,topical products,dermatological,topical products,
talc,dermatological,topical products,dermatological,topical products,
taltz sc,dermatological,topical products,dermatological,topical products,
tolnaftate,dermatological,topical products,dermatological,topical products,
tremfya,dermatological,topical products,dermatological,topical products,
tretinoin,dermatological,topical products,dermatological,topical products,
triamcinolone acetonide,dermatological,topical products,dermatological,topical products,
triple antibiotic,dermatological,topical products,dermatological,topical products,
ustekinumab,dermatological,topical products,dermatological,topical products,
vitamin a & d ex oint,dermatological,topical products,dermatological,topical products,
vitamins a & d,dermatological,topical products,dermatological,topical products,
vitamins a & d ex oint,dermatological,topical products,dermatological,topical products,
witch hazel-glycerin,dermatological,topical products,dermatological,topical products,
witch hazel-glycerin ex pads,dermatological,topical products,dermatological,topical products,
xeroform oil emulsion gauze ex pads,dermatological,topical products,dermatological,topical products,
glucagon hcl rdna,glucagon ,glucagon ,diagnostic products,miscellaneous products,
glucerna,dietary supplement,nutritional products,dietary products,nutritional products,
glucerna shake liqd,dietary supplement,nutritional products,dietary products,nutritional products,
nepro,multivitamins,nutritional products,dietary products,nutritional products,
nepro liqd,multivitamins,nutritional products,dietary products,nutritional products,
cerefolin nac,nutritional shake/tube feed,nutritional shake/tube feed,dietary products,nutritional products,
deplin,nutritional shake/tube feed,nutritional shake/tube feed,dietary products,nutritional products,
enfamil nutramigen lipil liqd,nutritional shake/tube feed,nutritional shake/tube feed,dietary products,nutritional products,
ensure,nutritional shake/tube feed,nutritional shake/tube feed,dietary products,nutritional products,
ensure active,nutritional shake/tube feed,nutritional shake/tube feed,dietary products,nutritional products,
ensure liqd,nutritional shake/tube feed,nutritional shake/tube feed,dietary products,nutritional products,
ensure original,nutritional shake/tube feed,nutritional shake/tube feed,dietary products,nutritional products,
ensure plus,nutritional shake/tube feed,nutritional shake/tube feed,dietary products,nutritional products,
ensure pudding,nutritional shake/tube feed,nutritional shake/tube feed,dietary products,nutritional products,
htn complex,nutritional shake/tube feed,nutritional shake/tube feed,dietary products,nutritional products,
infant foods,nutritional shake/tube feed,nutritional shake/tube feed,dietary products,nutritional products,
isosource,nutritional shake/tube feed,nutritional shake/tube feed,dietary products,nutritional products,
jevity,nutritional shake/tube feed,nutritional shake/tube feed,dietary products,nutritional products,
l-methylfolate,multivitamins,nutritional products,dietary products,nutritional products,
l-methylfolate calcium,multivitamins,nutritional products,dietary products,nutritional products,
levomefolate glucosamine,multivitamins,nutritional products,dietary products,nutritional products,
metafolbic plus rf,multivitamins,nutritional products,dietary products,nutritional products,
methylfol-algae-b12-acetylcyst,multivitamins,nutritional products,dietary products,nutritional products,
nutritional supplements,multivitamins,nutritional products,dietary products,nutritional products,
promod,nutritional shake/tube feed,nutritional shake/tube feed,dietary products,nutritional products,
prosource liqd,nutritional shake/tube feed,nutritional shake/tube feed,dietary products,nutritional products,
prosource no carb liqd,nutritional shake/tube feed,nutritional shake/tube feed,dietary products,nutritional products,
vitamin d booster,multivitamins,nutritional products,dietary products,nutritional products,
vitamin d maintenance,multivitamins,nutritional products,dietary products,nutritional products,
zenpep,pancrease,digestive aids,digestive aids,gastrointestinal agents,
amylase-lipase-protease,pancrease,digestive aids,digestive aids,gastrointestinal agents,
creon,pancrease,digestive aids,digestive aids,gastrointestinal agents,
digestive enzyme,pancrease,digestive aids,digestive aids,gastrointestinal agents,
digestive enzymes,pancrease,digestive aids,digestive aids,gastrointestinal agents,
lactaid,lactase,digestive aids,digestive aids,gastrointestinal agents,
lactase,lactase,digestive aids,digestive aids,gastrointestinal agents,
pancrelipase,pancrease,digestive aids,digestive aids,gastrointestinal agents,
pancrelipase (lip-prot-amyl),pancrease,digestive aids,digestive aids,gastrointestinal agents,
acetazolamide,carbonic anhydrase inhibitor,diuretics,diuretics,cardiovascular agents,
acetazolamide er,carbonic anhydrase inhibitor,diuretics,diuretics,cardiovascular agents,
amiloride hcl,diuretics,diuretics,diuretics,cardiovascular agents,
amiloride-hydrochlorothiazide,diuretics,diuretics,diuretics,cardiovascular agents,
triamterene,k-sparing-diuretic,diuretics,diuretics,cardiovascular agents,
bumetanide,loop-diuretic,antihypertensive,diuretics,cardiovascular agents,
furosemide,loop-diuretic,diuretics,diuretics,cardiovascular agents,
lasix,loop-diuretic,diuretics,diuretics,cardiovascular agents,
torsemide,loop-diuretic,diuretics,diuretics,cardiovascular agents,
spironolactone,mineralocorticoid blocker,raasi,diuretics,cardiovascular agents,
spironolactone-hctz,mineralocorticoid blocker,raasi,diuretics,cardiovascular agents,
chlorthalidone,thiazide,diuretics,diuretics,cardiovascular agents,
hydrochlorothiazide,thiazide,diuretics,diuretics,cardiovascular agents,
indapamide,thiazide,diuretics,diuretics,cardiovascular agents,
metolazone,thiazide,diuretics,diuretics,cardiovascular agents,
microzide,thiazide,diuretics,diuretics,cardiovascular agents,
triamterene-hctz,thiazide,diuretics,diuretics,cardiovascular agents,
conj estrog-medroxyprogest ace,estrogens,estrogens,estrogens,endocrine & metabolic drugs,
estradiol,estrogens,estrogens,estrogens,endocrine & metabolic drugs,
estrogens conj synthetic b,estrogens,estrogens,estrogens,endocrine & metabolic drugs,
estrogens conjugated,estrogens,estrogens,estrogens,endocrine & metabolic drugs,
norethindrone-eth estradiol,estrogens,contraceptives,estrogens,endocrine & metabolic drugs,
premarin,estrogens,estrogens,estrogens,endocrine & metabolic drugs,
prempro,estrogens,estrogens,estrogens,endocrine & metabolic drugs,
ciprofloxacin hcl,fluoroquinolones,antibiotics,fluoroquinolones,anti-infective agents,
levofloxacin,fluoroquinolones,antibiotics,fluoroquinolones,anti-infective agents,
moxifloxacin hcl,fluoroquinolones,antibiotics,fluoroquinolones,anti-infective agents,
colchicine,colchicine,gout,gout,analgesics & anesthetics,
colchicine-probenecid,colchicine/probenecid,gout,gout,analgesics & anesthetics,
colcrys,antiinflamatory,gout,gout,analgesics & anesthetics,
probenecid,uricosuric,gout,gout,analgesics & anesthetics,
allopurinol,xanthine oxidase inhibitor,gout,gout,analgesics & anesthetics,
febuxostat,xanthine oxidase inhibitor,gout,gout,analgesics & anesthetics,
aranesp,erythropoietin,erythropoietin,hematopoietic agents,hematological agents,
darbepoetin alfa,erythropoietin,hematopoietic agents,hematopoietic agents,hematological agents,
epoetin alfa,erythropoietin,hematopoietic agents,hematopoietic agents,hematological agents,
epoetin alfa-epbx,erythropoietin,hematopoietic agents,hematopoietic agents,hematological agents,
procrit,erythropoietin,hematopoietic agents,hematopoietic agents,hematological agents,
retacrit,erythropoietin,hematopoietic agents,hematopoietic agents,hematological agents,
folic acid,folic acid,nutritional products,hematopoietic agents,hematological agents,
filgrastim,g-csf,hematopoietic agents,hematopoietic agents,hematological agents,
filgrastim-sndz,g-csf,hematopoietic agents,hematopoietic agents,hematological agents,
carbonyl iron,iron,hematological agents,hematopoietic agents,hematological agents,
easy iron,iron,nutritional products,hematopoietic agents,hematological agents,
fe fumarate-b12-vit c-fa-ifc caps,iron,nutritional products,hematopoietic agents,hematological agents,
ferosul,iron,nutritional products,hematopoietic agents,hematological agents,
ferrocite,iron,nutritional products,hematopoietic agents,hematological agents,
ferrous fumarate,iron,nutritional products,hematopoietic agents,hematological agents,
ferrous gluconate,iron,nutritional products,hematopoietic agents,hematological agents,
ferrous sulfate,iron,nutritional products,hematopoietic agents,hematological agents,
ferrous sulfate dried er,iron,nutritional products,hematopoietic agents,hematological agents,
ferrous sulfate er,iron,nutritional products,hematopoietic agents,hematological agents,
gentle iron,iron,nutritional products,hematopoietic agents,hematological agents,
hm iron slow release,iron,nutritional products,hematopoietic agents,hematological agents,
iron,iron,nutritional products,hematopoietic agents,hematological agents,
iron cr,iron,nutritional products,hematopoietic agents,hematological agents,
iron dextran,iron,nutritional products,hematopoietic agents,hematological agents,
iron high-potency,iron,nutritional products,hematopoietic agents,hematological agents,
iron sucrose,iron,nutritional products,hematopoietic agents,hematological agents,
iron-c,iron,nutritional products,hematopoietic agents,hematological agents,
iron-vitamin c,iron,nutritional products,hematopoietic agents,hematological agents,
polysaccharide iron complex,iron,nutritional products,hematopoietic agents,hematological agents,
slow fe,iron,nutritional products,hematopoietic agents,hematological agents,
sm slow release iron,iron,nutritional products,hematopoietic agents,hematological agents,
fabb,multivitamins,nutritional products,hematopoietic agents,hematological agents,
hemax,multivitamins,nutritional products,hematopoietic agents,hematological agents,
vitamin b,multivitamins,nutritional products,hematopoietic agents,hematological agents,
vitamin b1-b12,multivitamins,nutritional products,hematopoietic agents,hematological agents,
romiplostim,thrombopoietin,hematopoietic agents,hematopoietic agents,hematological agents,
b-12,vit b 12,hematological agents,hematopoietic agents,hematological agents,
b12,vit b 12,hematological agents,hematopoietic agents,hematological agents,
cvs b-12,vit b 12,nutritional products,hematopoietic agents,hematological agents,
cvs vitamin b-12,vit b 12,nutritional products,hematopoietic agents,hematological agents,
cvs vitamin b12,vit b 12,nutritional products,hematopoietic agents,hematological agents,
cyanocobalamin,vit b 12,nutritional products,hematopoietic agents,hematological agents,
cyanocobalamin er,vit b 12,nutritional products,hematopoietic agents,hematological agents,
cyanocobalamin ij,vit b 12,nutritional products,hematopoietic agents,hematological agents,
vitamin b12,vit b 12,nutritional products,hematopoietic agents,hematological agents,
vitamin deficiency system-b12,vit b 12,nutritional products,hematopoietic agents,hematological agents,
fe bisgly-vit c-vit b12-fa,iron/multivitamin,nutritional products,hematopoietic agents,hematological agents,
fe fumarate-b12-vit c-fa-ifc,iron/multivitamin,nutritional products,hematopoietic agents,hematological agents,
ferrous bisglycinate chelate,iron/multivitamin,nutritional products,hematopoietic agents,hematological agents,
ferrous gluconate-c-folic acid,iron/multivitamin,nutritional products,hematopoietic agents,hematological agents,
ferrous sulfate dried,iron/multivitamin,nutritional products,hematopoietic agents,hematological agents,
folic acid-vit b6-vit b12,iron/multivitamin,nutritional products,hematopoietic agents,hematological agents,
iron polysacch cmplx-b12-fa,iron/multivitamin,nutritional products,hematopoietic agents,hematological agents,
iron-dss-b12-fa-c-e-cu-biotin,iron/multivitamin,nutritional products,hematopoietic agents,hematological agents,
tranexamic acid,hemostatic,hemostatic,hemostatics,hematological agents,
advil pm,antihistamin-nsaid,hypnotics,hypnotics,central nervous system drugs,
unisom sleep,antihistamine,hypnotics,hypnotics,central nervous system drugs,
zzzquil,antihistamine,antihistamine,hypnotics,central nervous system drugs,
aspirin free pm,asa,analgesic/nsaid,hypnotics,central nervous system drugs,
zolpidem tartrate,hypnotics,hypnotics,hypnotics,central nervous system drugs,
zolpidem tartrate er,hypnotics,hypnotics,hypnotics,central nervous system drugs,
ibuprofen pm,nsaid,nsaid,hypnotics,central nervous system drugs,
belsomra,hypnotics,hypnotics,hypnotics,central nervous system drugs,
diphenhydramine hcl,h1_blocker,antihistamines,hypnotics,central nervous system drugs,
diphenhydramine hcl (sleep),h1_blocker,antihistamines,hypnotics,central nervous system drugs,
diphenhydramine-apap,h1_blocker/acetaminophen,antihistamines/acetaminophen,hypnotics,central nervous system drugs,
diphenhydramine-apap (sleep),h1_blocker/acetaminophen,antihistamines/acetaminophen,hypnotics,central nervous system drugs,
doxylamine succinate,h1_blocker,antihistamines,hypnotics,central nervous system drugs,
doxylamine succinate (sleep),h1_blocker,antihistamines,hypnotics,central nervous system drugs,
eszopiclone,hypnotics,hypnotics,hypnotics,central nervous system drugs,
ibuprofen-diphenhydramine cit,h1_blocker/nsaid,antihistamines/nsaid,hypnotics,central nervous system drugs,
ibuprofen-diphenhydramine hcl,h1_blocker/nsaid,antihistamines/nsaid,hypnotics,central nervous system drugs,
night-time sleep aid,h1_blocker,antihistamines,hypnotics,central nervous system drugs,
phenobarbital,barbiturate,sedative,hypnotics,central nervous system drugs,
ramelteon,hypnotics,hypnotics,hypnotics,central nervous system drugs,
sleep aid,hypnotics,hypnotics,hypnotics,central nervous system drugs,
suvorexant,hypnotics,hypnotics,hypnotics,central nervous system drugs,
temazepam,benzodiazepine,sedative,hypnotics,central nervous system drugs,
triazolam,benzodiazepine,sedative,hypnotics,central nervous system drugs,
unisom,h1_blocker,antihistamines,hypnotics,central nervous system drugs,
zaleplon,benzodiazepine,sedative,hypnotics,central nervous system drugs,
citrate of magnesia soln,laxatives,laxatives,laxatives,gastrointestinal agents,
citrucel,laxatives,laxatives,laxatives,gastrointestinal agents,
colace,laxatives,laxatives,laxatives,gastrointestinal agents,
cvs fiber gummies,laxatives,laxatives,laxatives,gastrointestinal agents,
cvs fiber gummy bears children,laxatives,laxatives,laxatives,gastrointestinal agents,
cvs gentle laxative,laxatives,laxatives,laxatives,gastrointestinal agents,
cvs senna,laxatives,laxatives,laxatives,gastrointestinal agents,
daily fiber,laxatives,laxatives,laxatives,gastrointestinal agents,
docusate sodium,laxatives,laxatives,laxatives,gastrointestinal agents,
dok,laxatives,laxatives,laxatives,gastrointestinal agents,
dss,laxatives,laxatives,laxatives,gastrointestinal agents,
dulcolax,laxatives,laxatives,laxatives,gastrointestinal agents,
eq fiberwder,laxatives,laxatives,laxatives,gastrointestinal agents,
ex-lax maximum strength,laxatives,laxatives,laxatives,gastrointestinal agents,
fiber,laxatives,laxatives,laxatives,gastrointestinal agents,
fiber complete,laxatives,laxatives,laxatives,gastrointestinal agents,
fiber-caps,laxatives,laxatives,laxatives,gastrointestinal agents,
fiberchoice,laxatives,laxatives,laxatives,gastrointestinal agents,
fiberwd,laxatives,laxatives,laxatives,gastrointestinal agents,
fleet enema,laxatives,laxatives,laxatives,gastrointestinal agents,
fleet enema re,laxatives,laxatives,laxatives,gastrointestinal agents,
glycerin,laxatives,laxatives,laxatives,gastrointestinal agents,
konsyl,laxatives,laxatives,laxatives,gastrointestinal agents,
konsyl fiber,laxatives,laxatives,laxatives,gastrointestinal agents,
lactulose,laxatives,laxatives,laxatives,gastrointestinal agents,
magnesium citrate soln,laxatives,laxatives,laxatives,gastrointestinal agents,
magnesium hydroxide,laxatives,laxatives,laxatives,gastrointestinal agents,
magnesium sulfate,laxatives,laxatives,laxatives,gastrointestinal agents,
metamucil,laxatives,laxatives,laxatives,gastrointestinal agents,
metamucil fiber,laxatives,laxatives,laxatives,gastrointestinal agents,
metamucil wafr,laxatives,laxatives,laxatives,gastrointestinal agents,
methylcellulose,laxatives,laxatives,laxatives,gastrointestinal agents,
milk of magnesia,laxatives,laxatives,laxatives,gastrointestinal agents,
nutrisource fiber pack,laxatives,laxatives,laxatives,gastrointestinal agents,
peg,laxatives,laxatives,laxatives,gastrointestinal agents,
polyethylene glycol,laxatives,laxatives,laxatives,gastrointestinal agents,
psyllium,laxatives,laxatives,laxatives,gastrointestinal agents,
psyllium husk,laxatives,laxatives,laxatives,gastrointestinal agents,
ra saline enema,laxatives,laxatives,laxatives,gastrointestinal agents,
ra saline enema re,laxatives,laxatives,laxatives,gastrointestinal agents,
senna,laxatives,laxatives,laxatives,gastrointestinal agents,
senna lax,laxatives,laxatives,laxatives,gastrointestinal agents,
senna-docusate sodium,laxatives,laxatives,laxatives,gastrointestinal agents,
senna-grx,laxatives,laxatives,laxatives,gastrointestinal agents,
sennosides,laxatives,laxatives,laxatives,gastrointestinal agents,
sennosides-docusate sodium,laxatives,laxatives,laxatives,gastrointestinal agents,
sm clearlaxwd,laxatives,laxatives,laxatives,gastrointestinal agents,
sm fiber,laxatives,laxatives,laxatives,gastrointestinal agents,
sorbitol,laxatives,laxatives,laxatives,gastrointestinal agents,
stool softener,laxatives,laxatives,laxatives,gastrointestinal agents,
calciumlycarbophil,laxatives,laxatives,laxatives,gastrointestinal agents,
miralax,laxatives,laxatives,laxatives,gastrointestinal agents,
benefiber drink mix pack,laxatives,laxatives,laxatives,gastrointestinal agents,
benefiberwd,laxatives,laxatives,laxatives,gastrointestinal agents,
bisacodyl,laxatives,laxatives,laxatives,gastrointestinal agents,
bisacodyl ec,laxatives,laxatives,laxatives,gastrointestinal agents,
calcium polycarbophil,laxatives,laxatives,laxatives,gastrointestinal agents,
docusate calcium,laxatives,laxatives,laxatives,gastrointestinal agents,
glycerin (laxative),laxatives,laxatives,laxatives,gastrointestinal agents,
guar gum,laxatives,laxatives,laxatives,gastrointestinal agents,
inulin,laxatives,laxatives,laxatives,gastrointestinal agents,
magnesium sulfate (laxative),laxatives,laxatives,laxatives,gastrointestinal agents,
methylcellulose (laxative),laxatives,laxatives,laxatives,gastrointestinal agents,
peg 3350-kcl-na bicarb-nacl,laxatives,laxatives,laxatives,gastrointestinal agents,
peg 3350-kcl-nabcb-nacl-nasulf,laxatives,laxatives,laxatives,gastrointestinal agents,
polyethylene glycol 3350,laxatives,laxatives,laxatives,gastrointestinal agents,
sodium phosphates,laxatives,laxatives,laxatives,gastrointestinal agents,
wheat dextrin,laxatives,laxatives,laxatives,gastrointestinal agents,
azithromycin,macrolide,antibiotics,macrolide antibiotics,anti-infective agents,
clarithromycin,macrolide,antibiotics,macrolide antibiotics,anti-infective agents,
erythromycin base,macrolide,antibiotics,macrolide antibiotics,anti-infective agents,
fidaxomicin,macrolide,antibiotics,macrolide antibiotics,anti-infective agents,
aimovig,cgrpr-blocker,migraine products,migraine products,analgesics & anesthetics,
aimovig sc,cgrpr-blocker,migraine products,migraine products,analgesics & anesthetics,
emgality,cgrpr-blocker,migraine products,migraine products,analgesics & anesthetics,
fremanezumab-vfrm,cgrpr-blocker,migraine products,migraine products,analgesics & anesthetics,
isometheptene-dichloral-apap,combo-med,migraine products,migraine products,analgesics & anesthetics,
midrin,combo-med,migraine products,migraine products,analgesics & anesthetics,
eletriptan hydrobromide,triptan,migraine products,migraine products,analgesics & anesthetics,
